registration_id,year,act_no,source_url
act-1897-031,1897,031,https://legislation.nsw.gov.au/view/html/inforce/current/act-1897-031
act-1898-013,1898,013,https://legislation.nsw.gov.au/view/html/inforce/current/act-1898-013
act-1898-017,1898,017,https://legislation.nsw.gov.au/view/html/inforce/current/act-1898-017
act-1898-031,1898,031,https://legislation.nsw.gov.au/view/html/inforce/current/act-1898-031
act-1899-039,1899,039,https://legislation.nsw.gov.au/view/html/inforce/current/act-1899-039
act-1900-020,1900,020,https://legislation.nsw.gov.au/view/html/inforce/current/act-1900-020
act-1900-025,1900,025,https://legislation.nsw.gov.au/view/html/inforce/current/act-1900-025
act-1900-034,1900,034,https://legislation.nsw.gov.au/view/html/inforce/current/act-1900-034
act-1900-040,1900,040,https://legislation.nsw.gov.au/view/html/inforce/current/act-1900-040
act-1901-033,1901,033,https://legislation.nsw.gov.au/view/html/inforce/current/act-1901-033
act-1901-043,1901,043,https://legislation.nsw.gov.au/view/html/inforce/current/act-1901-043
act-1902-032,1902,032,https://legislation.nsw.gov.au/view/html/inforce/current/act-1902-032
act-1902-048,1902,048,https://legislation.nsw.gov.au/view/html/inforce/current/act-1902-048
act-1902-049,1902,049,https://legislation.nsw.gov.au/view/html/inforce/current/act-1902-049
act-1902-069,1902,069,https://legislation.nsw.gov.au/view/html/inforce/current/act-1902-069
act-1902-071,1902,071,https://legislation.nsw.gov.au/view/html/inforce/current/act-1902-071
act-1902-079,1902,079,https://legislation.nsw.gov.au/view/html/inforce/current/act-1902-079
act-1902-081,1902,081,https://legislation.nsw.gov.au/view/html/inforce/current/act-1902-081
act-1903-009,1903,009,https://legislation.nsw.gov.au/view/html/inforce/current/act-1903-009
act-1906-028,1906,028,https://legislation.nsw.gov.au/view/html/inforce/current/act-1906-028
act-1909-014,1909,014,https://legislation.nsw.gov.au/view/html/inforce/current/act-1909-014
act-1912-005,1912,005,https://legislation.nsw.gov.au/view/html/inforce/current/act-1912-005
act-1912-016,1912,016,https://legislation.nsw.gov.au/view/html/inforce/current/act-1912-016
act-1912-044,1912,044,https://legislation.nsw.gov.au/view/html/inforce/current/act-1912-044
act-1912-045,1912,045,https://legislation.nsw.gov.au/view/html/inforce/current/act-1912-045
act-1912-051,1912,051,https://legislation.nsw.gov.au/view/html/inforce/current/act-1912-051
act-1915-009,1915,009,https://legislation.nsw.gov.au/view/html/inforce/current/act-1915-009
act-1916-002,1916,002,https://legislation.nsw.gov.au/view/html/inforce/current/act-1916-002
act-1916-028,1916,028,https://legislation.nsw.gov.au/view/html/inforce/current/act-1916-028
act-1916-041,1916,041,https://legislation.nsw.gov.au/view/html/inforce/current/act-1916-041
act-1916-080,1916,080,https://legislation.nsw.gov.au/view/html/inforce/current/act-1916-080
act-1917-025,1917,025,https://legislation.nsw.gov.au/view/html/inforce/current/act-1917-025
act-1919-006,1919,006,https://legislation.nsw.gov.au/view/html/inforce/current/act-1919-006
act-1919-052,1919,052,https://legislation.nsw.gov.au/view/html/inforce/current/act-1919-052
act-1921-017,1921,017,https://legislation.nsw.gov.au/view/html/inforce/current/act-1921-017
act-1922-006,1922,006,https://legislation.nsw.gov.au/view/html/inforce/current/act-1922-006
act-1922-016,1922,016,https://legislation.nsw.gov.au/view/html/inforce/current/act-1922-016
act-1922-023,1922,023,https://legislation.nsw.gov.au/view/html/inforce/current/act-1922-023
act-1923-001,1923,001,https://legislation.nsw.gov.au/view/html/inforce/current/act-1923-001
